district_osm_id,district_name,state_name,latitude,longitude,annual_rainfall_normal_mm,monsoon_rainfall_normal_mm,annual_rainfall_2022_mm,historical_landslides_1998_2022_state_count,elevation_m,slope_deg,terrain_data_status,prototype_risk_score,prototype_risk_level,label_status
2026439,Tinsukia,Assam,27.57984210865979,95.6197220748896,2296.8,1523.4,2375.7,2569,135.0,0.29,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521466,Udalguri,Assam,26.730587989996355,92.03162352909314,2296.8,1523.4,2375.7,2569,103.0,2.02,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521812,West Karbi Anglong,Assam,25.850327229805227,92.5337653461942,2296.8,1523.4,2375.7,2569,605.0,11.66,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027934,Bishnupur district,Manipur,24.548748442244893,93.80327602537834,2039.8,1404.5,1225.2,5494,767.0,0.0,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027970,Chandel district,Manipur,24.140494195882777,94.01310071792903,2039.8,1404.5,1225.2,5494,1008.0,19.48,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027870,Churachandpur district,Manipur,24.30067712108902,93.60300175101423,2039.8,1404.5,1225.2,5494,864.0,11.14,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027871,Imphal East,Manipur,24.81988882586683,94.01136982263742,2039.8,1404.5,1225.2,5494,826.0,15.55,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027935,Imphal West,Manipur,24.76948256638316,93.86789227256313,2039.8,1404.5,1225.2,5494,776.0,0.28,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532320,Jiribam district,Manipur,24.713990291465965,93.13610274800648,2039.8,1404.5,1225.2,5494,213.0,13.78,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532750,Kakching district,Manipur,24.4606877377543,93.92163287833478,2039.8,1404.5,1225.2,5494,769.0,0.0,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532615,Kamjong district,Manipur,24.822678358946213,94.43127623821051,2039.8,1404.5,1225.2,5494,537.0,14.15,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532475,Kangpokpi district,Manipur,25.00618239511822,93.93975342163768,2039.8,1404.5,1225.2,5494,906.0,18.6,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532329,Noney district,Manipur,24.759229238832788,93.5036450689147,2039.8,1404.5,1225.2,5494,387.0,13.37,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9533549,Pherzawl district,Manipur,24.32419653318244,93.21941702248115,2039.8,1404.5,1225.2,5494,577.0,19.32,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027936,Senapati,Manipur,25.39774580284801,94.12665503676917,2039.8,1404.5,1225.2,5494,1150.0,17.31,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027872,Tamenglong district,Manipur,25.07567105173344,93.52656261699624,2039.8,1404.5,1225.2,5494,699.0,24.29,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9532614,Tengnoupal,Manipur,24.42484112003685,94.22619052136044,2039.8,1404.5,1225.2,5494,978.0,21.34,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027937,Thoubal district,Manipur,24.618258447648177,94.01088229504694,2039.8,1404.5,1225.2,5494,776.0,1.0,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027971,Ukhrul district,Manipur,25.23230137081904,94.42850555876667,2039.8,1404.5,1225.2,5494,1174.0,18.61,ELEVATION_FILLED_SLOPE_FILLED,0.1344519651195774,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027474,East Garo Hills,Meghalaya,25.6226664380283,90.63038052576906,3837.1,2786.8,4216.1,2639,443.0,8.71,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9522423,East Jaintia Hills,Meghalaya,25.258533735269417,92.46990854981928,3837.1,2786.8,4216.1,2639,809.0,1.0,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027522,East Khasi Hills,Meghalaya,25.384567838029447,91.8045964163179,3837.1,2786.8,4216.1,2639,1542.0,28.24,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
14723470,Eastern West Khasi Hills,Meghalaya,25.65043154052338,91.58959942922446,3837.1,2786.8,4216.1,2639,1330.0,9.87,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9522478,North Garo Hills,Meghalaya,25.854542323970627,90.6646018569513,3837.1,2786.8,4216.1,2639,177.0,19.72,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027524,Ri-Bhoi,Meghalaya,25.874608662566526,91.88372349753335,3837.1,2786.8,4216.1,2639,540.0,11.0,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027475,South Garo Hills,Meghalaya,25.30268283698532,90.58236132360416,3837.1,2786.8,4216.1,2639,140.0,12.5,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9522272,South Salmara-Mankachar,Meghalaya,25.817415756696064,89.96202296007633,3837.1,2786.8,4216.1,2639,27.0,0.39,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9522314,South West Garo Hills,Meghalaya,25.44066947958291,89.99038394230091,3837.1,2786.8,4216.1,2639,58.0,2.59,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9522352,South West Khasi Hills,Meghalaya,25.32692783386964,91.25777735240236,3837.1,2786.8,4216.1,2639,1004.0,7.96,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027476,West Garo Hills,Meghalaya,25.653362023358177,90.19468000547384,3837.1,2786.8,4216.1,2639,380.0,7.7,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027523,West Jaintia Hills,Meghalaya,25.48417430927889,92.28716534354164,3837.1,2786.8,4216.1,2639,1326.0,7.55,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027525,West Khasi Hills,Meghalaya,25.58358257546156,91.10054054509052,3837.1,2786.8,4216.1,2639,1054.0,5.12,ELEVATION_FILLED_SLOPE_FILLED,0.7296782544378699,HIGH,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029066,Aizawl,Mizoram,23.83606422118772,92.82854035788438,2626.8,1708.3,1833.3,12385,272.0,26.76,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029067,Champhai district,Mizoram,23.569070454164954,93.2699613491704,2626.8,1708.3,1833.3,12385,1059.0,30.51,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
12035192,Hnahthial,Mizoram,22.952001137135493,92.9878874871314,2626.8,1708.3,1833.3,12385,1039.0,9.64,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
12034295,Khawzawl,Mizoram,23.485746577339373,93.15033658185308,2626.8,1708.3,1833.3,12385,1308.0,16.07,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029068,Kolasib,Mizoram,24.15926922172776,92.72709988037111,2626.8,1708.3,1833.3,12385,152.0,20.6,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029047,Lawngtlai,Mizoram,22.43274408654733,92.76670729727964,2626.8,1708.3,1833.3,12385,257.0,19.86,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029048,Lunglei,Mizoram,22.97875178706258,92.65211108505513,2626.8,1708.3,1833.3,12385,539.0,17.1,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029049,Mamit,Mizoram,23.75367885524428,92.46498946320904,2626.8,1708.3,1833.3,12385,485.0,14.38,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029050,Saiha,Mizoram,22.29411284577223,93.00075382020007,2626.8,1708.3,1833.3,12385,1377.0,8.05,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
12035237,Saitual,Mizoram,23.827293652460234,93.01835776759464,2626.8,1708.3,1833.3,12385,537.0,35.35,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2029069,Serchhip,Mizoram,23.309176752262875,92.94422114916982,2626.8,1708.3,1833.3,12385,693.0,30.26,ELEVATION_FILLED_SLOPE_FILLED,0.5020191503228992,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
14769140,Chümoukedima,Nagaland,25.766496637804305,93.78110960606897,1959.8,1329.9,1456.0,2132,636.0,13.77,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2663857,Dimapur,Nagaland,25.902910590344217,93.7215941989128,1959.8,1329.9,1456.0,2132,151.0,0.52,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9520304,Kiphire,Nagaland,25.84563344787605,94.82304300625772,1959.8,1329.9,1456.0,2132,713.0,20.29,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027974,Kohima,Nagaland,25.713907362926665,94.090796275728,1959.8,1329.9,1456.0,2132,1489.0,0.96,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9520317,Longleng,Nagaland,26.555416515311222,94.79731105358064,1959.8,1329.9,1456.0,2132,1009.0,23.4,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
19969223,Meluri district,Nagaland,25.621470782766647,94.70870629323971,1959.8,1329.9,1456.0,2132,1147.0,9.31,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027986,Mokokchung,Nagaland,26.473381831780262,94.52867492685144,1959.8,1329.9,1456.0,2132,579.0,15.75,ELEVATION_FILLED_SLOPE_FILLED,0.0271908656084204,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
