location_id,location_name,category,latitude,longitude,source
1579672842,,ferry_terminal,26.1813856,91.7357204,OpenStreetMap/Geofabrik North-Eastern Zone
1579672845,,ferry_terminal,26.1843684,91.7374867,OpenStreetMap/Geofabrik North-Eastern Zone
1579672848,Mazgaon Ferry Ghat,ferry_terminal,26.1862405,91.7220828,OpenStreetMap/Geofabrik North-Eastern Zone
1579672882,,ferry_terminal,26.20644,91.7481474,OpenStreetMap/Geofabrik North-Eastern Zone
1596051550,Dekargaon,railway_station,26.6806068,92.7628282,OpenStreetMap/Geofabrik North-Eastern Zone
1600760123,Diphu,railway_station,25.8371941,93.4383663,OpenStreetMap/Geofabrik North-Eastern Zone
1621473136,Baraigram Junction,railway_station,24.6825788,92.3412269,OpenStreetMap/Geofabrik North-Eastern Zone
1668477314,Rupahigaon,railway_halt,26.4125204,92.7418286,OpenStreetMap/Geofabrik North-Eastern Zone
1668508409,,ferry_terminal,26.659539,93.173513,OpenStreetMap/Geofabrik North-Eastern Zone
1676604026,Naharlagun,railway_station,27.1308555,93.709712,OpenStreetMap/Geofabrik North-Eastern Zone
1698266422,Kamakhya Mandir,bus_station,26.1650799,91.7072072,OpenStreetMap/Geofabrik North-Eastern Zone
1698296685,,bus_station,26.1773109,91.7348759,OpenStreetMap/Geofabrik North-Eastern Zone
1699637246,,ferry_terminal,27.5258115,95.0114831,OpenStreetMap/Geofabrik North-Eastern Zone
1699637364,,ferry_terminal,27.8384523,95.3515622,OpenStreetMap/Geofabrik North-Eastern Zone
1699638062,,ferry_terminal,28.0769077,95.3360762,OpenStreetMap/Geofabrik North-Eastern Zone
1739986504,Chabua,railway_station,27.4811319,95.1718214,OpenStreetMap/Geofabrik North-Eastern Zone
1739986514,Dikom,railway_station,27.463866,95.0804522,OpenStreetMap/Geofabrik North-Eastern Zone
1810911573,,ferry_terminal,26.6187555,92.9414286,OpenStreetMap/Geofabrik North-Eastern Zone
1810911969,Nizchatia,railway_station,26.769328,93.1637328,OpenStreetMap/Geofabrik North-Eastern Zone
1810912049,Dhalai Beel,railway_station,26.7916234,92.923201,OpenStreetMap/Geofabrik North-Eastern Zone
1811463083,Tangla,railway_station,26.6571914,91.9052083,OpenStreetMap/Geofabrik North-Eastern Zone
1845657278,,bus_station,26.2313363,90.231133,OpenStreetMap/Geofabrik North-Eastern Zone
1848205878,Lahoal,railway_station,27.4526983,94.9995008,OpenStreetMap/Geofabrik North-Eastern Zone
1858241659,Udaipur,railway_station,23.5105401,91.4798796,OpenStreetMap/Geofabrik North-Eastern Zone
1939429673,Nimati ghat,ferry_terminal,26.8616341,94.2413393,OpenStreetMap/Geofabrik North-Eastern Zone
1985336560,Haipo Jadonang,railway_station,24.7358566,93.3061318,OpenStreetMap/Geofabrik North-Eastern Zone
1985336561,Thingu,railway_station,24.8086961,93.405236,OpenStreetMap/Geofabrik North-Eastern Zone
2037923460,Fakirganj,ferry_terminal,25.9645817,90.0756196,OpenStreetMap/Geofabrik North-Eastern Zone
2037923461,Phulbari Ghat (wet season only?),ferry_terminal,25.8903444,90.0208117,OpenStreetMap/Geofabrik North-Eastern Zone
2081913984,Hailakandi,railway_station,24.6812721,92.5679553,OpenStreetMap/Geofabrik North-Eastern Zone
2081913989,Panchgram,railway_station,24.865508,92.5984489,OpenStreetMap/Geofabrik North-Eastern Zone
2081914624,Salchapra,railway_station,24.8249889,92.6677585,OpenStreetMap/Geofabrik North-Eastern Zone
2081914715,,bus_station,24.8311862,92.7979855,OpenStreetMap/Geofabrik North-Eastern Zone
2081914813,Arunachal Junction,railway_station,24.8557436,92.7431452,OpenStreetMap/Geofabrik North-Eastern Zone
2081915256,New Haflong,railway_station,25.1480102,93.0320565,OpenStreetMap/Geofabrik North-Eastern Zone
2084596919,,ferry_terminal,24.2357908,93.0231942,OpenStreetMap/Geofabrik North-Eastern Zone
2084877071,Rangapahar Airbase,airport,25.8558364,93.706297,OpenStreetMap/Geofabrik North-Eastern Zone
2084877956,Khotkhoti,railway_station,25.9527954,93.7547838,OpenStreetMap/Geofabrik North-Eastern Zone
2084878606,Bokajan,railway_station,26.0193348,93.7802127,OpenStreetMap/Geofabrik North-Eastern Zone
2137910081,Gohpur,railway_station,26.897071,93.6218307,OpenStreetMap/Geofabrik North-Eastern Zone
2164024492,Mazbat,railway_station,26.7843747,92.2872235,OpenStreetMap/Geofabrik North-Eastern Zone
2164275096,,ferry_terminal,27.5945732,94.908031,OpenStreetMap/Geofabrik North-Eastern Zone
2286315964,Nagaland State Transportation,bus_station,25.6718196,94.1070801,OpenStreetMap/Geofabrik North-Eastern Zone
2309770462,Sibsagar Town,railway_station,26.9902574,94.6432322,OpenStreetMap/Geofabrik North-Eastern Zone
2316321277,Kamarbandha Ali,railway_station,26.5291145,94.0558033,OpenStreetMap/Geofabrik North-Eastern Zone
2329495881,Barpathar,railway_station,26.2750082,93.8998677,OpenStreetMap/Geofabrik North-Eastern Zone
2340755592,Bhalukmara,railway_station,26.6695435,94.1238453,OpenStreetMap/Geofabrik North-Eastern Zone
2340755593,Cinnamara,railway_station,26.7064259,94.2396687,OpenStreetMap/Geofabrik North-Eastern Zone
2340755594,Rowriah Sdg,railway_station,26.7216321,94.1723058,OpenStreetMap/Geofabrik North-Eastern Zone
2340780169,Baihata,railway_station,26.3417693,91.6892274,OpenStreetMap/Geofabrik North-Eastern Zone
2340780174,Kendukona,railway_station,26.3685532,91.6444261,OpenStreetMap/Geofabrik North-Eastern Zone
2346871970,Namti,railway_station,26.855288,94.627418,OpenStreetMap/Geofabrik North-Eastern Zone
2346871972,Desang,railway_station,27.0606645,94.6925459,OpenStreetMap/Geofabrik North-Eastern Zone
2346871974,Lakswa,railway_station,27.0052163,94.8445527,OpenStreetMap/Geofabrik North-Eastern Zone
2346871975,Longpatia,railway_station,27.079077,95.0936685,OpenStreetMap/Geofabrik North-Eastern Zone
2346871976,MohKhuti,railway_station,27.1059291,94.8066994,OpenStreetMap/Geofabrik North-Eastern Zone
2346871977,Mahutgaon,railway_station,26.9643383,94.7940882,OpenStreetMap/Geofabrik North-Eastern Zone
2346871978,Mezenga,railway_station,26.8860486,94.6889971,OpenStreetMap/Geofabrik North-Eastern Zone
2346871979,Moran,railway_station,27.1472108,94.8885611,OpenStreetMap/Geofabrik North-Eastern Zone
2346871982,Sepon,railway_station,27.1144283,94.8532408,OpenStreetMap/Geofabrik North-Eastern Zone
2346882129,Chalkhoa,railway_station,27.4660132,94.9594599,OpenStreetMap/Geofabrik North-Eastern Zone
2346882130,Naharkatiya,railway_station,27.2891913,95.3296513,OpenStreetMap/Geofabrik North-Eastern Zone
2365222327,Sorupeta,railway_station,26.4996415,91.0772008,OpenStreetMap/Geofabrik North-Eastern Zone
2365253018,Ghograpar,railway_station,26.4511473,91.5288433,OpenStreetMap/Geofabrik North-Eastern Zone
2383182599,Public Bus Stand,bus_station,26.7596339,94.2105123,OpenStreetMap/Geofabrik North-Eastern Zone
2571343421,কসবা,railway_station,23.7402697,91.1555601,OpenStreetMap/Geofabrik North-Eastern Zone
