node_id,latitude,longitude
595,27.3675818,95.3103957
596,27.3664903,95.3079865
597,27.366222,95.310366
598,27.3685156,95.3079571
599,27.368194,95.313874
600,27.369433,95.312244
601,27.369662,95.313966
602,27.3687808,95.3139053
603,27.369328,95.314904
604,27.3698725,95.3149279
605,27.36878,95.314883
606,27.3703167,95.3149447
607,27.3704587,95.320343
608,27.3708562,95.3178696
609,27.3709241,95.3247522
610,27.3711206,95.3242709
611,27.358618,95.321685
612,27.367551,95.323332
613,27.3682805,95.3108775
614,27.368876,95.310972
615,27.369476,95.31108
616,27.3700154,95.3121726
617,27.3662679,95.3102436
618,27.3708357,95.3121086
619,27.388162,95.3125139
620,27.3721532,95.3113217
621,27.366818,95.311654
622,27.346745,95.322275
623,27.359057,95.326363
624,27.358199,95.323219
625,27.356274,95.325204
626,27.357589,95.325376
627,27.356684,95.324968
628,27.3571157,95.3250046
629,27.359771,95.328766
630,27.359676,95.327951
631,27.3592858,95.3288319
632,27.3571643,95.3339829
633,27.357132,95.32941
634,27.356265,95.329496
635,27.358447,95.333519
636,27.359981,95.3311648
637,27.3588636,95.3288786
638,27.3433796,95.3191209
639,27.3574425,95.3362559
640,27.333679,95.328691
641,27.3223042,95.3844578
642,27.0917723,94.8364471
643,27.2857776,88.5366561
644,27.2507288,88.5320325
645,27.2507627,88.5316658
646,27.3176309,88.5962155
647,27.332465,88.6167527
648,27.3329165,88.6165297
649,27.3364868,88.650724
650,27.3423317,88.6093433
651,27.3391207,88.6090825
652,27.3367002,88.6130264
653,27.1165908,88.3517371
654,27.1177297,88.3810577
655,27.1148485,88.377761
656,27.1091359,88.3615477
657,27.360592,95.3175022
658,27.353082,95.315999
659,27.3587386,95.3403081
660,27.3580373,95.3380805
661,27.3572708,95.3289786
662,27.353644,95.329152
663,27.3545066,95.3450257
664,27.3555882,95.3317058
665,27.354006,95.327028
666,27.355112,95.326889
667,27.353892,95.3313518
668,27.3530296,95.3309548
669,27.3550498,95.3317702
670,27.354559,95.326974
671,27.4843697,95.3621033
672,27.4842364,95.3621918
673,27.3512719,95.3223961
674,27.3600905,95.3172916
675,27.3588995,95.318048
676,27.3712409,95.3336571
677,27.3587946,95.3159183
678,27.3555019,95.3181
679,27.3583509,95.3148661
680,27.359206,95.3162661
681,27.3576178,95.3148991
682,27.3586869,95.3152174
683,27.3597094,95.3203923
684,27.3602074,95.3215361
685,27.3601998,95.3205234
686,27.359533,95.331287
687,27.3588327,95.3288832
688,27.353923,95.326033
689,27.3549669,95.3256727
690,27.3544208,95.3257372
691,27.3655313,95.3285569
692,27.3674512,95.3309079
693,27.355941,95.323091
694,27.3568498,95.3221205
695,27.357737,95.321615
696,24.1222246,92.2037325
697,24.8074639,93.9330051
698,24.7843388,93.9485553
699,24.7122368,94.1954
700,24.8026615,93.9437323
701,24.8148531,93.9441613
702,24.8071007,93.9330195
703,24.8075549,93.9364554
704,24.822932,93.9716649
